Rank,Profile,Modality,Loss Type,LR,BS,HS,LS,Final Train Loss,Final Val Loss,Mean Val Loss,Best Val Loss,Epochs,Status,Error
98,20260413_081044_audio-window-snn_grid_283_lr0_0010_bs64_hs128_ls16_mae,audio-window,mae,0.0010,64,128,16,0.713299,0.709691,0.709691,0.709691,8,Success,
99,20260413_020246_audio-window-snn_grid_091_lr0_0003_bs16_hs32_ls16_mae,audio-window,mae,0.0003,16,32,16,0.710585,0.709903,0.709903,0.709903,8,Success,
100,20260413_020350_audio-window-snn_grid_097_lr0_0003_bs16_hs64_ls16_mae,audio-window,mae,0.0003,16,64,16,0.710585,0.709903,0.709903,0.709903,8,Success,
101,20260413_020607_audio-window-snn_grid_103_lr0_0003_bs16_hs128_ls16_mae,audio-window,mae,0.0003,16,128,16,0.710585,0.709903,0.709903,0.709903,8,Success,
102,20260413_033739_audio-window-snn_grid_091_lr0_0003_bs16_hs32_ls16_mae,audio-window,mae,0.0003,16,32,16,0.710585,0.709903,0.709903,0.709903,8,Success,
103,20260413_034458_audio-window-snn_grid_097_lr0_0003_bs16_hs64_ls16_mae,audio-window,mae,0.0003,16,64,16,0.710585,0.709903,0.709903,0.709903,8,Success,
104,20260413_035218_audio-window-snn_grid_103_lr0_0003_bs16_hs128_ls16_mae,audio-window,mae,0.0003,16,128,16,0.710585,0.709903,0.709903,0.709903,8,Success,
105,20260413_023401_audio-window-snn_grid_183_lr0_0005_bs32_hs32_ls32_mae,audio-window,mae,0.0005,32,32,32,0.709459,0.710406,0.710406,0.710406,8,Success,
106,20260413_023621_audio-window-snn_grid_189_lr0_0005_bs32_hs64_ls32_mae,audio-window,mae,0.0005,32,64,32,0.709459,0.710406,0.710406,0.710406,8,Success,
107,20260413_023859_audio-window-snn_grid_195_lr0_0005_bs32_hs128_ls32_mae,audio-window,mae,0.0005,32,128,32,0.709459,0.710406,0.710406,0.710406,8,Success,
108,20260413_024100_audio-window-snn_grid_201_lr0_0005_bs64_hs32_ls32_mae,audio-window,mae,0.0005,64,32,32,0.709459,0.710406,0.710406,0.710406,8,Success,
109,20260413_024339_audio-window-snn_grid_207_lr0_0005_bs64_hs64_ls32_mae,audio-window,mae,0.0005,64,64,32,0.709459,0.710406,0.710406,0.710406,8,Success,
110,20260413_024607_audio-window-snn_grid_213_lr0_0005_bs64_hs128_ls32_mae,audio-window,mae,0.0005,64,128,32,0.709459,0.710406,0.710406,0.710406,8,Success,
111,20260413_054346_audio-window-snn_grid_183_lr0_0005_bs32_hs32_ls32_mae,audio-window,mae,0.0005,32,32,32,0.709459,0.710406,0.710406,0.710406,8,Success,
112,20260413_055348_audio-window-snn_grid_189_lr0_0005_bs32_hs64_ls32_mae,audio-window,mae,0.0005,32,64,32,0.709459,0.710406,0.710406,0.710406,8,Success,
113,20260413_060351_audio-window-snn_grid_195_lr0_0005_bs32_hs128_ls32_mae,audio-window,mae,0.0005,32,128,32,0.709459,0.710406,0.710406,0.710406,8,Success,
114,20260413_061352_audio-window-snn_grid_201_lr0_0005_bs64_hs32_ls32_mae,audio-window,mae,0.0005,64,32,32,0.709459,0.710406,0.710406,0.710406,8,Success,
115,20260413_062355_audio-window-snn_grid_207_lr0_0005_bs64_hs64_ls32_mae,audio-window,mae,0.0005,64,64,32,0.709459,0.710406,0.710406,0.710406,8,Success,
116,20260413_063357_audio-window-snn_grid_213_lr0_0005_bs64_hs128_ls32_mae,audio-window,mae,0.0005,64,128,32,0.709459,0.710406,0.710406,0.710406,8,Success,
117,20260413_025146_audio-window-snn_grid_237_lr0_0010_bs16_hs32_ls32_mae,audio-window,mae,0.0010,16,32,32,0.705786,0.710476,0.710476,0.710476,8,Success,
118,20260413_025251_audio-window-snn_grid_243_lr0_0010_bs16_hs64_ls32_mae,audio-window,mae,0.0010,16,64,32,0.705786,0.710476,0.710476,0.710476,8,Success,
119,20260413_025509_audio-window-snn_grid_249_lr0_0010_bs16_hs128_ls32_mae,audio-window,mae,0.0010,16,128,32,0.705786,0.710476,0.710476,0.710476,8,Success,
120,20260413_065958_audio-window-snn_grid_237_lr0_0010_bs16_hs32_ls32_mae,audio-window,mae,0.0010,16,32,32,0.705786,0.710476,0.710476,0.710476,8,Success,
121,20260413_070718_audio-window-snn_grid_243_lr0_0010_bs16_hs64_ls32_mae,audio-window,mae,0.0010,16,64,32,0.705786,0.710476,0.710476,0.710476,8,Success,
122,20260413_071438_audio-window-snn_grid_249_lr0_0010_bs16_hs128_ls32_mae,audio-window,mae,0.0010,16,128,32,0.705786,0.710476,0.710476,0.710476,8,Success,
123,20260413_012419_audio-window-snn_grid_037_lr0_0001_bs32_hs32_ls16_mae,audio-window,mae,0.0001,32,32,16,0.710071,0.710961,0.710961,0.710961,8,Success,
124,20260413_013425_audio-window-snn_grid_043_lr0_0001_bs32_hs64_ls16_mae,audio-window,mae,0.0001,32,64,16,0.710071,0.710961,0.710961,0.710961,8,Success,
125,20260413_014950_audio-window-snn_grid_049_lr0_0001_bs32_hs128_ls16_mae,audio-window,mae,0.0001,32,128,16,0.710071,0.710961,0.710961,0.710961,8,Success,
126,20260413_015230_audio-window-snn_grid_055_lr0_0001_bs64_hs32_ls16_mae,audio-window,mae,0.0001,64,32,16,0.710071,0.710961,0.710961,0.710961,8,Success,
127,20260413_015421_audio-window-snn_grid_061_lr0_0001_bs64_hs64_ls16_mae,audio-window,mae,0.0001,64,64,16,0.710071,0.710961,0.710961,0.710961,8,Success,
128,20260413_015709_audio-window-snn_grid_067_lr0_0001_bs64_hs128_ls16_mae,audio-window,mae,0.0001,64,128,16,0.710071,0.710961,0.710961,0.710961,8,Success,
129,20260413_021333_audio-window-snn_grid_055_lr0_0001_bs64_hs32_ls16_mae,audio-window,mae,0.0001,64,32,16,0.710071,0.710961,0.710961,0.710961,8,Success,
130,20260413_024337_audio-window-snn_grid_061_lr0_0001_bs64_hs64_ls16_mae,audio-window,mae,0.0001,64,64,16,0.710071,0.710961,0.710961,0.710961,8,Success,
131,20260413_031045_audio-window-snn_grid_067_lr0_0001_bs64_hs128_ls16_mae,audio-window,mae,0.0001,64,128,16,0.710071,0.710961,0.710961,0.710961,8,Success,
132,20260413_020320_audio-window-snn_grid_093_lr0_0003_bs16_hs32_ls32_mae,audio-window,mae,0.0003,16,32,32,0.711859,0.711173,0.711173,0.711173,8,Success,
133,20260413_020420_audio-window-snn_grid_099_lr0_0003_bs16_hs64_ls32_mae,audio-window,mae,0.0003,16,64,32,0.711859,0.711173,0.711173,0.711173,8,Success,
134,20260413_020641_audio-window-snn_grid_105_lr0_0003_bs16_hs128_ls32_mae,audio-window,mae,0.0003,16,128,32,0.711859,0.711173,0.711173,0.711173,8,Success,
135,20260413_034006_audio-window-snn_grid_093_lr0_0003_bs16_hs32_ls32_mae,audio-window,mae,0.0003,16,32,32,0.711859,0.711173,0.711173,0.711173,8,Success,
136,20260413_034724_audio-window-snn_grid_099_lr0_0003_bs16_hs64_ls32_mae,audio-window,mae,0.0003,16,64,32,0.711859,0.711173,0.711173,0.711173,8,Success,
137,20260413_035444_audio-window-snn_grid_105_lr0_0003_bs16_hs128_ls32_mae,audio-window,mae,0.0003,16,128,32,0.711859,0.711173,0.711173,0.711173,8,Success,
138,20260413_025159_audio-window-snn_grid_239_lr0_0010_bs16_hs32_ls64_mae,audio-window,mae,0.0010,16,32,64,0.716401,0.713198,0.713198,0.713198,8,Success,
139,20260413_025316_audio-window-snn_grid_245_lr0_0010_bs16_hs64_ls64_mae,audio-window,mae,0.0010,16,64,64,0.716401,0.713198,0.713198,0.713198,8,Success,
140,20260413_025527_audio-window-snn_grid_251_lr0_0010_bs16_hs128_ls64_mae,audio-window,mae,0.0010,16,128,64,0.716401,0.713198,0.713198,0.713198,8,Success,
141,20260413_070225_audio-window-snn_grid_239_lr0_0010_bs16_hs32_ls64_mae,audio-window,mae,0.0010,16,32,64,0.716401,0.713198,0.713198,0.713198,8,Success,
142,20260413_070945_audio-window-snn_grid_245_lr0_0010_bs16_hs64_ls64_mae,audio-window,mae,0.0010,16,64,64,0.716401,0.713198,0.713198,0.713198,8,Success,
143,20260413_071704_audio-window-snn_grid_251_lr0_0010_bs16_hs128_ls64_mae,audio-window,mae,0.0010,16,128,64,0.716401,0.713198,0.713198,0.713198,8,Success,
144,20260413_010127_audio-window-snn_grid_019_lr0_0001_bs16_hs32_ls16_mae,audio-window,mae,0.0001,16,32,16,0.713725,0.713596,0.713596,0.713596,8,Success,
145,20260413_010353_audio-window-snn_grid_021_lr0_0001_bs16_hs32_ls32_mae,audio-window,mae,0.0001,16,32,32,0.713725,0.713596,0.713596,0.713596,8,Success,
146,20260413_010846_audio-window-snn_grid_025_lr0_0001_bs16_hs64_ls16_mae,audio-window,mae,0.0001,16,64,16,0.713725,0.713596,0.713596,0.713596,8,Success,
147,20260413_011112_audio-window-snn_grid_027_lr0_0001_bs16_hs64_ls32_mae,audio-window,mae,0.0001,16,64,32,0.713725,0.713596,0.713596,0.713596,8,Success,
