Rank,Loss Type,LR,BS,HS,LS,Final Train Loss,Mean Val Loss,Best Val Loss,Epochs
265,mse,0.0001,32,64,32,0.955355,0.954851,0.954851,8
266,mse,0.0001,32,128,32,0.955355,0.954851,0.954851,8
267,mse,0.0001,32,128,32,0.955355,0.954851,0.954851,8
268,mse,0.0001,64,32,32,0.955355,0.954851,0.954851,8
269,mse,0.0001,64,64,32,0.955355,0.954851,0.954851,8
270,mse,0.0001,64,128,32,0.955355,0.954851,0.954851,8
271,mse,0.0001,64,32,32,0.955355,0.954851,0.954851,8
272,mse,0.0001,64,64,32,0.955355,0.954851,0.954851,8
273,mse,0.0001,64,128,32,0.955355,0.954851,0.954851,8
274,mse,0.0001,32,32,16,0.955268,0.954894,0.954894,8
275,mse,0.0001,32,64,16,0.955268,0.954894,0.954894,8
276,mse,0.0001,32,128,16,0.955268,0.954894,0.954894,8
277,mse,0.0001,64,32,16,0.955268,0.954894,0.954894,8
278,mse,0.0001,64,64,16,0.955268,0.954894,0.954894,8
279,mse,0.0001,64,128,16,0.955268,0.954894,0.954894,8
280,mse,0.0001,64,32,16,0.955268,0.954894,0.954894,8
281,mse,0.0001,64,64,16,0.955268,0.954894,0.954894,8
282,mse,0.0001,64,128,16,0.955268,0.954894,0.954894,8
283,mse,0.0005,32,32,16,0.955587,0.955223,0.955223,8
284,mse,0.0005,32,64,16,0.955587,0.955223,0.955223,8
285,mse,0.0005,32,128,16,0.955587,0.955223,0.955223,8
286,mse,0.0005,64,32,16,0.955587,0.955223,0.955223,8
287,mse,0.0005,64,64,16,0.955587,0.955223,0.955223,8
288,mse,0.0005,64,128,16,0.955587,0.955223,0.955223,8
289,mse,0.0005,32,32,16,0.955587,0.955223,0.955223,8
290,mse,0.0005,32,64,16,0.955587,0.955223,0.955223,8
291,mse,0.0005,32,128,16,0.955587,0.955223,0.955223,8
292,mse,0.0005,64,32,16,0.955587,0.955223,0.955223,8
293,mse,0.0005,64,64,16,0.955587,0.955223,0.955223,8
294,mse,0.0005,64,128,16,0.955587,0.955223,0.955223,8
295,mse,0.0003,32,32,32,0.958458,0.955240,0.955240,8
296,mse,0.0003,32,64,32,0.958458,0.955240,0.955240,8
297,mse,0.0003,32,128,32,0.958458,0.955240,0.955240,8
298,mse,0.0003,64,32,32,0.958458,0.955240,0.955240,8
299,mse,0.0003,64,64,32,0.958458,0.955240,0.955240,8
300,mse,0.0003,64,128,32,0.958458,0.955240,0.955240,8
301,mse,0.0003,32,32,32,0.958458,0.955240,0.955240,8
302,mse,0.0003,32,64,32,0.958458,0.955240,0.955240,8
303,mse,0.0003,32,128,32,0.958458,0.955240,0.955240,8
304,mse,0.0003,64,32,32,0.958458,0.955240,0.955240,8
305,mse,0.0003,64,64,32,0.958458,0.955240,0.955240,8
306,mse,0.0003,64,128,32,0.958458,0.955240,0.955240,8
307,mse,0.0005,32,32,32,0.955580,0.955535,0.955535,8
308,mse,0.0005,32,64,32,0.955580,0.955535,0.955535,8
309,mse,0.0005,32,128,32,0.955580,0.955535,0.955535,8
310,mse,0.0005,64,32,32,0.955580,0.955535,0.955535,8
311,mse,0.0005,64,64,32,0.955580,0.955535,0.955535,8
312,mse,0.0005,64,128,32,0.955580,0.955535,0.955535,8
313,mse,0.0005,32,32,32,0.955580,0.955535,0.955535,8
314,mse,0.0005,32,64,32,0.955580,0.955535,0.955535,8
315,mse,0.0005,32,128,32,0.955580,0.955535,0.955535,8
316,mse,0.0005,64,32,32,0.955580,0.955535,0.955535,8
317,mse,0.0005,64,64,32,0.955580,0.955535,0.955535,8
318,mse,0.0005,64,128,32,0.955580,0.955535,0.955535,8
319,mse,0.0010,32,32,16,0.954957,0.955740,0.955740,8
320,mse,0.0010,32,64,16,0.954957,0.955740,0.955740,8
321,mse,0.0010,32,128,16,0.954957,0.955740,0.955740,8
322,mse,0.0010,64,32,16,0.954957,0.955740,0.955740,8
323,mse,0.0010,64,64,16,0.954957,0.955740,0.955740,8
324,mse,0.0010,64,128,16,0.954957,0.955740,0.955740,8
325,mse,0.0010,32,32,16,0.954957,0.955740,0.955740,8
326,mse,0.0010,32,64,16,0.954957,0.955740,0.955740,8
327,mse,0.0010,32,128,16,0.954957,0.955740,0.955740,8
328,mse,0.0010,64,32,16,0.954957,0.955740,0.955740,8
329,mse,0.0010,64,64,16,0.954957,0.955740,0.955740,8
330,mse,0.0010,64,128,16,0.954957,0.955740,0.955740,8
331,mse,0.0001,32,32,64,0.956027,0.955838,0.955838,8
332,mse,0.0001,32,64,64,0.956027,0.955838,0.955838,8
333,mse,0.0001,32,128,64,0.956027,0.955838,0.955838,8
334,mse,0.0001,64,32,64,0.956027,0.955838,0.955838,8
335,mse,0.0001,64,64,64,0.956027,0.955838,0.955838,8
336,mse,0.0001,64,128,64,0.956027,0.955838,0.955838,8
337,mse,0.0001,32,128,64,0.956027,0.955838,0.955838,8
338,mse,0.0001,64,32,64,0.956027,0.955838,0.955838,8
339,mse,0.0001,64,64,64,0.956027,0.955838,0.955838,8
340,mse,0.0001,64,128,64,0.956027,0.955838,0.955838,8
341,mse,0.0010,32,32,32,0.956193,0.956602,0.956602,8
342,mse,0.0010,32,64,32,0.956193,0.956602,0.956602,8
343,mse,0.0010,32,128,32,0.956193,0.956602,0.956602,8
344,mse,0.0010,64,32,32,0.956193,0.956602,0.956602,8
345,mse,0.0010,64,64,32,0.956193,0.956602,0.956602,8
346,mse,0.0010,64,128,32,0.956193,0.956602,0.956602,8
347,mse,0.0010,32,32,32,0.956193,0.956602,0.956602,8
348,mse,0.0010,32,64,32,0.956193,0.956602,0.956602,8
349,mse,0.0010,32,128,32,0.956193,0.956602,0.956602,8
350,mse,0.0010,64,32,32,0.956193,0.956602,0.956602,8
351,mse,0.0010,64,64,32,0.956193,0.956602,0.956602,8
352,mse,0.0010,64,128,32,0.956193,0.956602,0.956602,8
353,mse,0.0010,32,32,64,0.956908,0.957292,0.957292,8
354,mse,0.0010,32,64,64,0.956908,0.957292,0.957292,8
355,mse,0.0010,32,128,64,0.956908,0.957292,0.957292,8
356,mse,0.0010,64,32,64,0.956908,0.957292,0.957292,8
357,mse,0.0010,64,64,64,0.956908,0.957292,0.957292,8
358,mse,0.0010,64,128,64,0.956908,0.957292,0.957292,8
359,mse,0.0010,32,32,64,0.956908,0.957292,0.957292,8
360,mse,0.0010,32,64,64,0.956908,0.957292,0.957292,8
