Rank,Profile,Profile Signature,Modality,Loss Type,LR,BS,HS,LS,Final Train Loss,Final Val Loss,Mean Val Loss,Best Val Loss,Epochs,Status,Error,Duplicate Runs
84,20260413_012057_audio-window-snn_grid_035_lr0_0001_bs16_hs128_ls64_mae,audio-window-snn_grid_035_lr0_0001_bs16_hs128_ls64_mae,audio-window,mae,0.0001,16,128,64,0.716761,0.714128,0.714128,0.714128,8,Success,,1
85,20260413_022804_audio-window-snn_grid_167_lr0_0005_bs16_hs32_ls64_mae,audio-window-snn_grid_167_lr0_0005_bs16_hs32_ls64_mae,audio-window,mae,0.0005,16,32,64,0.713921,0.715054,0.715054,0.715054,8,Success,,2
86,20260413_022928_audio-window-snn_grid_173_lr0_0005_bs16_hs64_ls64_mae,audio-window-snn_grid_173_lr0_0005_bs16_hs64_ls64_mae,audio-window,mae,0.0005,16,64,64,0.713921,0.715054,0.715054,0.715054,8,Success,,2
87,20260413_023122_audio-window-snn_grid_179_lr0_0005_bs16_hs128_ls64_mae,audio-window-snn_grid_179_lr0_0005_bs16_hs128_ls64_mae,audio-window,mae,0.0005,16,128,64,0.713921,0.715054,0.715054,0.715054,8,Success,,2
88,20260413_023339_audio-window-snn_grid_181_lr0_0005_bs32_hs32_ls16_mae,audio-window-snn_grid_181_lr0_0005_bs32_hs32_ls16_mae,audio-window,mae,0.0005,32,32,16,0.705480,0.715500,0.715500,0.715500,8,Success,,2
89,20260413_023543_audio-window-snn_grid_187_lr0_0005_bs32_hs64_ls16_mae,audio-window-snn_grid_187_lr0_0005_bs32_hs64_ls16_mae,audio-window,mae,0.0005,32,64,16,0.705480,0.715500,0.715500,0.715500,8,Success,,2
90,20260413_023820_audio-window-snn_grid_193_lr0_0005_bs32_hs128_ls16_mae,audio-window-snn_grid_193_lr0_0005_bs32_hs128_ls16_mae,audio-window,mae,0.0005,32,128,16,0.705480,0.715500,0.715500,0.715500,8,Success,,2
91,20260413_024016_audio-window-snn_grid_199_lr0_0005_bs64_hs32_ls16_mae,audio-window-snn_grid_199_lr0_0005_bs64_hs32_ls16_mae,audio-window,mae,0.0005,64,32,16,0.705480,0.715500,0.715500,0.715500,8,Success,,2
92,20260413_024306_audio-window-snn_grid_205_lr0_0005_bs64_hs64_ls16_mae,audio-window-snn_grid_205_lr0_0005_bs64_hs64_ls16_mae,audio-window,mae,0.0005,64,64,16,0.705480,0.715500,0.715500,0.715500,8,Success,,2
93,20260413_024522_audio-window-snn_grid_211_lr0_0005_bs64_hs128_ls16_mae,audio-window-snn_grid_211_lr0_0005_bs64_hs128_ls16_mae,audio-window,mae,0.0005,64,128,16,0.705480,0.715500,0.715500,0.715500,8,Success,,2
94,20260413_021006_audio-window-snn_grid_113_lr0_0003_bs32_hs32_ls64_mae,audio-window-snn_grid_113_lr0_0003_bs32_hs32_ls64_mae,audio-window,mae,0.0003,32,32,64,0.710808,0.715608,0.715608,0.715608,8,Success,,2
95,20260413_021216_audio-window-snn_grid_119_lr0_0003_bs32_hs64_ls64_mae,audio-window-snn_grid_119_lr0_0003_bs32_hs64_ls64_mae,audio-window,mae,0.0003,32,64,64,0.710808,0.715608,0.715608,0.715608,8,Success,,2
96,20260413_021501_audio-window-snn_grid_125_lr0_0003_bs32_hs128_ls64_mae,audio-window-snn_grid_125_lr0_0003_bs32_hs128_ls64_mae,audio-window,mae,0.0003,32,128,64,0.710808,0.715608,0.715608,0.715608,8,Success,,2
97,20260413_021737_audio-window-snn_grid_131_lr0_0003_bs64_hs32_ls64_mae,audio-window-snn_grid_131_lr0_0003_bs64_hs32_ls64_mae,audio-window,mae,0.0003,64,32,64,0.710808,0.715608,0.715608,0.715608,8,Success,,2
98,20260413_021959_audio-window-snn_grid_137_lr0_0003_bs64_hs64_ls64_mae,audio-window-snn_grid_137_lr0_0003_bs64_hs64_ls64_mae,audio-window,mae,0.0003,64,64,64,0.710808,0.715608,0.715608,0.715608,8,Success,,2
99,20260413_022247_audio-window-snn_grid_143_lr0_0003_bs64_hs128_ls64_mae,audio-window-snn_grid_143_lr0_0003_bs64_hs128_ls64_mae,audio-window,mae,0.0003,64,128,64,0.710808,0.715608,0.715608,0.715608,8,Success,,2
100,20260413_023446_audio-window-snn_grid_185_lr0_0005_bs32_hs32_ls64_mae,audio-window-snn_grid_185_lr0_0005_bs32_hs32_ls64_mae,audio-window,mae,0.0005,32,32,64,0.706671,0.715827,0.715827,0.715827,8,Success,,2
101,20260413_023637_audio-window-snn_grid_191_lr0_0005_bs32_hs64_ls64_mae,audio-window-snn_grid_191_lr0_0005_bs32_hs64_ls64_mae,audio-window,mae,0.0005,32,64,64,0.706671,0.715827,0.715827,0.715827,8,Success,,2
