model,encoding,architecture,v_th,alpha,run_id,seed,cv_fold,split,speaker_id,recording_id,window_id,source_window_index,mse,mae
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1150,15944,2,0.19847843,0.26023260
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1151,15955,0,0.00115184,0.00567480
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1151,15956,1,0.36964864,0.42995539
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1151,15957,2,0.47035173,0.50421739
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1152,15965,0,0.00115184,0.00567480
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1152,15966,1,0.21382521,0.27540362
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1152,15967,2,0.25739753,0.31284454
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1153,15976,0,0.00092115,0.00542000
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1153,15977,1,0.22966248,0.29197457
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1153,15978,2,0.35436887,0.41378599
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1154,15989,0,0.00094719,0.00540560
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1154,15990,1,0.16256537,0.22416343
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1154,15991,2,0.21630563,0.27887437
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1155,16002,0,0.00094719,0.00540560
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1155,16003,1,0.17958581,0.24149506
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1155,16004,2,0.11976610,0.18290235
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1156,16014,0,0.00115184,0.00567480
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1156,16015,1,0.24672207,0.30745757
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1156,16016,2,0.26181182,0.30428761
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1157,16024,0,0.00028373,0.00515669
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1157,16025,1,0.23625372,0.29698721
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1157,16026,2,0.28842098,0.34956264
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1158,16032,0,0.00115184,0.00567480
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1158,16033,1,0.20781009,0.26820263
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1158,16034,2,0.26768437,0.31376848
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1159,16043,0,0.00094719,0.00540560
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1159,16044,1,0.21843080,0.28116992
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1159,16045,2,0.18258521,0.24328783
