backend,profile,dataset,model,encoding,architecture,layers,v_th,alpha,run,seed,config_hash,split,cv_fold,mse,mae,r2,precision,recall,f1,spike_rate,energy,train_ms,infer_ms,param_count,macs
xtensor,meeting01_loso,fsdd,snn-ae,direct,conv1d,2,1.500000,0.990000,3,44,1327769346908022152,val,3,0.008498,0.054550,0.988396,0.000000,0.000000,0.000000,0.079544,374749.000000,9063.303711,29.353636,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,recurrent,2,0.500000,0.800000,3,44,1327769346908022152,val,3,0.001452,0.009906,0.984194,0.000000,0.000000,0.000000,0.504896,407416.000000,65559.406250,898.119202,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,recurrent,2,0.500000,0.900000,3,44,1327769346908022152,val,3,0.001250,0.007777,0.988279,0.000000,0.000000,0.000000,0.513763,408097.000000,60282.117188,863.159607,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,recurrent,2,0.500000,0.990000,3,44,1327769346908022152,val,3,0.000560,0.004240,0.996813,0.000000,0.000000,0.000000,0.627214,416810.000000,70481.781250,913.546387,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,recurrent,2,1.000000,0.800000,3,44,1327769346908022152,val,3,0.001078,0.008511,0.985755,0.000000,0.000000,0.000000,0.370612,397103.000000,65032.574219,838.259888,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,recurrent,2,1.000000,0.900000,3,44,1327769346908022152,val,3,0.000493,0.001837,0.994605,0.000000,0.000000,0.000000,0.554844,411252.000000,109278.789062,905.288330,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,recurrent,2,1.000000,0.990000,3,44,1327769346908022152,val,3,0.003986,0.024484,0.968344,0.000000,0.000000,0.000000,0.555326,411289.000000,129304.914062,847.253174,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,recurrent,2,1.500000,0.800000,3,44,1327769346908022152,val,3,0.001595,0.006720,0.975534,0.000000,0.000000,0.000000,0.419870,400886.000000,129878.585938,1102.524658,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,recurrent,2,1.500000,0.900000,3,44,1327769346908022152,val,3,0.000284,0.002890,0.996232,0.000000,0.000000,0.000000,0.469557,404702.000000,65404.722656,844.967773,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,recurrent,2,1.500000,0.990000,3,44,1327769346908022152,val,3,0.001495,0.009003,0.984669,0.000000,0.000000,0.000000,0.586784,413705.000000,148154.765625,884.194763,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,recurrent,2,1.500000,0.900000,3,44,1327769346908022152,test,3,0.122573,0.171132,-0.353225,0.000000,0.000000,0.000000,0.585773,593577.000000,69494.429688,875.310364,37286,36864
xtensor,meeting01_loso,fsdd,lstm-ae,direct,lstm,1,0.000000,0.000000,4,45,1327769346908022152,val,3,0.013795,0.060463,0.986206,0.000000,0.000000,0.000000,0.000000,11842560.000000,547257.937500,1770.765747,122472,1184256
xtensor,meeting01_loso,fsdd,lstm-ae,direct,lstm,1,0.000000,0.000000,4,45,1327769346908022152,test,3,1.280855,0.684370,-0.280755,0.000000,0.000000,0.000000,0.000000,11842560.000000,0.000000,0.000000,122472,1184256
xtensor,meeting01_loso,fsdd,gru-ae,direct,gru,1,0.000000,0.000000,4,45,1327769346908022152,val,3,0.012556,0.056844,0.987444,0.000000,0.000000,0.000000,0.000000,8893440.000000,852611.500000,11291.674805,93032,889344
xtensor,meeting01_loso,fsdd,gru-ae,direct,gru,1,0.000000,0.000000,4,45,1327769346908022152,test,3,1.326848,0.691100,-0.326773,0.000000,0.000000,0.000000,0.000000,8893440.000000,0.000000,0.000000,93032,889344
xtensor,meeting01_loso,fsdd,transformer-ae,direct,transformer,1,0.000000,0.000000,4,45,1327769346908022152,val,3,0.012748,0.055913,0.987252,0.000000,0.000000,0.000000,0.000000,47554560.000000,297070.625000,580.858887,139176,4755456
xtensor,meeting01_loso,fsdd,transformer-ae,direct,transformer,1,0.000000,0.000000,4,45,1327769346908022152,test,3,1.016620,0.648877,-0.016520,0.000000,0.000000,0.000000,0.000000,47554560.000000,0.000000,0.000000,139176,4755456
xtensor,meeting01_loso,fsdd,snn-ae,direct,dense,2,0.500000,0.800000,4,45,1327769346908022152,val,3,0.012185,0.065185,0.987815,0.000000,0.000000,0.000000,0.053893,372779.000000,17788.236328,31.082636,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,dense,2,0.500000,0.900000,4,45,1327769346908022152,val,3,0.011232,0.055548,0.988768,0.000000,0.000000,0.000000,0.051315,372581.000000,17084.814453,11.961414,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,dense,2,0.500000,0.990000,4,45,1327769346908022152,val,3,0.011446,0.053706,0.988554,0.000000,0.000000,0.000000,0.051276,372578.000000,17146.699219,11.199093,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,dense,2,1.000000,0.800000,4,45,1327769346908022152,val,3,0.015696,0.074249,0.984304,0.000000,0.000000,0.000000,0.068438,373896.000000,10686.061523,13.468944,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,dense,2,1.000000,0.900000,4,45,1327769346908022152,val,3,0.013027,0.060916,0.986973,0.000000,0.000000,0.000000,0.054115,372796.000000,11499.805664,11.616048,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,dense,2,1.000000,0.990000,4,45,1327769346908022152,val,3,0.011619,0.050492,0.988381,0.000000,0.000000,0.000000,0.051237,372575.000000,13145.875000,22.623634,37286,36864
